Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
장월SH-VILLE1단지,A13614301,1129013800,254,20060418,개별난방,아파트,단일계약,5,3,186
장위참누리,A13614302,1129013800,373,20060418,개별난방,아파트,단일계약,13,0,412
꿈의숲코오롱하늘채아파트,A10026571,1129013800,513,20171030,개별난방,아파트,단일계약,13,0,614
래미안장위포레카운티아파트,A10025461,1129013800,939,20210531,개별난방,아파트,단일계약,21,0,1096
래미안퍼스트하이,A10025245,1129013800,1562,20201103,개별난방,아파트,단일계약,40,0,1911
장위우방아파트,A10024702,1129013800,147,20011227,개별난방,아파트,종합계약,6,24,145
장위지웰에스테이트,A10023569,1129013800,173,20220831,개별난방,도시형 생활주택(아파트),단일계약,12,19,85
꿈의숲아이파크아파트,A10024488,1129013800,1711,20220713,개별난방,아파트,종합계약,92,0,2027
석계역 한일노벨리아시티,A10025259,1129013800,299,20190903,개별난방,도시형 생활주택(주상복합),종합계약,2,10,143
석관두산,A13615003,1129013900,1998,19980418,개별난방,아파트,단일계약,41,591,1658
신동아파밀리에,A13676103,1129013900,199,20110128,개별난방,아파트,종합계약,9,0,253
석관중앙하이츠,A13681701,1129013900,315,19940624,개별난방,아파트,단일계약,7,62,179
래미안석관,A13676101,1129013900,580,20090626,개별난방,아파트,종합계약,19,0,684
석관래미안제2임대,A13676102,1129013900,80,20090626,개별난방,아파트,단일계약,2,0,56
석관코오롱,A13615002,1129013900,453,19990612,개별난방,아파트,단일계약,10,104,357
래미안아트리치 ,A10025283,1129013900,1091,20190228,개별난방,아파트,종합계약,32,3,1305
