,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
191,A13986306,3598698,2694500,,,,,,,,
192,A13922904,,,0,0,,,,,,
193,A13986703,0,0,,,,,,,,
194,A13986012,,,,,,,,,,
195,A13986702,0,0,19350,0,,,2204716,7718940,,
196,A13986504,4872117,0,,,,,5193595,67001630,,
197,A13985406,0,0,,,,,2811151,19618090,,
198,A13922110,,,0,0,,,5183840,30505230,7280770,8714610
199,A13993002,,,,,,,,,,
200,A13922108,,,,,,,,,,
201,A13986505,,,,,,,244750,0,,
202,A13986201,0,0,,,,,10788570,0,4520030,0
203,A13922003,0,0,,,,,,,20700,6218590
204,A13922905,0,0,,,,,,,-9320,10315570
205,A13986009,3584820,0,0,0,,,4465863,25741210,,
206,A13922901,,,0,0,,,,,0,0
207,A13922002,,,0,0,,,,,0,0
208,A13972602,,,0,0,,,,,,
