,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
174,A13985909,0,0,0,0,0,0,4876990,0,2517150,0
175,A13922907,0,0,0,0,0,0,641140,28574460,1178500,0
176,A13922903,8445780,38154400,0,0,-8616000,8616000,2745213,24408880,1304780,8383420
177,A13922103,0,0,0,0,0,0,3784270,9318540,-1580,5543420
178,A13986509,0,7660840,0,0,0,15669000,696800,8750320,0,0
179,A13922910,0,0,0,0,0,0,2541520,0,789360,0
180,A13972601,2730850,33448740,0,0,0,15387000,5235576,26030460,1719760,0
181,A13986302,55546890,48246130,0,0,20915570,20909950,58340730,47039150,27602310,27223770
182,A13985908,0,20613730,0,0,0,15630000,0,9965920,0,139120
183,A13922909,29277360,0,0,0,0,0,3303250,0,2514640,0
184,A13922114,61591060,66446830,0,0,42987500,42987500,3348662,55170040,11638690,0
185,A13986111,42886260,0,0,0,37612000,0,54030583,0,2592860,0
186,A13986701,0,0,-15970,224680,0,0,518670,6328930,39300,0
187,A13922111,2878300,22342200,0,0,0,12254400,4138950,0,2710510,0
188,A13922908,0,0,0,0,0,0,4455040,17442130,255260,9528380
189,A13993001,,,,,,,,,,
190,A13972603,37616960,35330260,0,0,29816600,29816600,4977630,0,8068940,0
191,A13986306,4050538,40980750,0,0,0,41267200,-7475000,59643040,2810490,0
192,A13922904,0,0,0,0,0,0,1708029,16925240,706410,0
193,A13986703,0,0,0,0,0,0,3835570,12319460,0,6805520
194,A13986012,0,0,0,0,0,0,8658680,26459610,78000,0
195,A13986702,0,0,67170,0,0,0,2051760,6628080,0,0
196,A13986504,14668215,78330980,0,0,0,69205500,9851589,45316410,5000000,0
197,A13985406,0,0,0,0,0,0,3799289,19823890,0,0
198,A13922110,4618260,25100920,0,0,0,18003000,8129860,30439610,6773720,7580640
199,A13993002,,,,,,,,,,
200,A13922108,12509950,32583370,0,0,-12647600,12647600,7111050,26111650,4406850,6973410
201,A13986505,6872810,44719280,0,0,0,33118200,237390,0,90880,0
202,A13986201,0,0,0,0,0,0,2582130,8071310,-760,4730990
203,A13922003,0,0,0,0,0,0,4815170,15228330,414920,6372220
204,A13922905,0,0,0,0,0,0,4993063,19291430,-2720,9660250
205,A13986009,2646240,38761320,0,0,0,17596800,7657276,26912570,3324570,8728590
206,A13922901,0,0,0,0,0,0,1093560,7856540,86510,0
207,A13922002,0,0,0,0,0,0,1685430,0,0,0
208,A13972602,0,0,0,0,0,0,4315180,9403300,914790,3927300
